BB_Rank,Title,Artist,Date,Genre,Gender
277,ON MY OWN,Patti LaBelle & Michael McDonald,1986,R&B,Male/Female
278,THE FIRST TIME,Surface,1991,R&B,Duo/Group
279,"HEY, SOUL SISTER",Train,2010,Pop,Duo/Group
280,BEAT IT,Michael Jackson,1983,R&B,Male
281,(LOVE IS) THICKER THAN WATER,Andy Gibb,1978,Pop,Male
282,CRAZY FOR YOU,Madonna,1985,Pop,Female
283,WONDERLAND BY NIGHT,Bert Kaempfert And His Orchestra,1961,Jazz,Male
284,TAKE A BOW,Madonna,1995,Pop,Female
285,LOVE CHILD,Diana Ross & The Supremes,1968,R&B,Female/Duo/Group
286,CAN'T NOBODY HOLD ME DOWN,Puff Daddy (Featuring Mase),1997,Hip-Hop/Rap,Male
287,KRYPTONITE,3 Doors Down,2000,Rock,Duo/Group
288,SHE LOVES YOU,The Beatles,1964,Rock,Duo/Group
289,WHAT'S LOVE GOT TO DO WITH IT,Tina Turner,1984,R&B,Female
290,HELLO,Adele,2015,Pop,Female
291,STUCK ON YOU,Elvis Presley With The Jordanaires,1960,Rock,Male
292,THE THREE BELLS,The Browns,1959,Country,Duo/Group
293,"BAD, BAD LEROY BROWN",Jim Croce,1973,Rock,Male
294,ONE OF THESE NIGHTS,Eagles,1975,Rock,Duo/Group
295,ROCK WITH YOU,Michael Jackson,1980,R&B,Male
296,MORE THAN WORDS,Extreme,1991,Rock,Duo/Group
297,MIDNIGHT TRAIN TO GEORGIA,Gladys Knight And The Pips,1973,R&B,Duo/Group
298,IN THE YEAR 2525,Zager & Evans,1969,Rock,Duo/Group
299,EVERYDAY PEOPLE,Sly & The Family Stone,1969,R&B,Duo/Group
300,ESCAPADE,Janet Jackson,1990,R&B,Female
301,SEPARATE LIVES,Phil Collins and Marilyn Martin,1985,Pop,Male/Female
302,I Want To Know What Love Is,Foreigner,1985,Rock,Duo/Group
303,IT'S STILL ROCK AND ROLL TO ME,Billy Joel,1980,Rock,Male
304,REUNITED,Peaches & Herb,1979,R&B,Duo/Group
305,NO DIGGITY,BLACKstreet (Featuring Dr. Dre),1996,R&B,Duo/Group
306,LOOK AWAY,Chicago,1988,Pop,Duo/Group
307,IT'S ONLY MAKE BELIEVE,Conway Twitty,1958,Pop,Male
308,WORK,Rihanna Featuring Drake,2016,R&B,Female
309,PROMISCUOUS,Nelly Furtado Featuring Timbaland,2006,Hip-Hop/Rap,Male
310,GRENADE,Bruno Mars,2011,Pop,Male
311,CRIMSON AND CLOVER,Tommy James And The Shondells,1969,Rock,Duo/Group
312,DAYDREAM BELIEVER,The Monkees,1967,Pop,Duo/Group
313,FOOTLOOSE,Kenny Loggins,1984,Pop,Male
314,AGAINST ALL ODDS (TAKE A LOOK AT ME NOW),Phil Collins,1984,Pop,Male
315,THREE TIMES A LADY,Commodores,1978,R&B,Duo/Group
316,THAT'S THE WAY (I LIKE IT),KC And The Sunshine Band,1975,Dance/Electronic,Duo/Group
317,I LIKE THE WAY (THE KISSING GAME),Hi-Five,1991,R&B,Duo/Group
318,POISON,Bell Biv DeVoe,1990,R&B,Duo/Group
319,I KNEW I LOVED YOU,Savage Garden,2000,Pop,Duo/Group
320,I'D REALLY LOVE TO SEE YOU TONIGHT,England Dan & John Ford Coley,1976,Pop,Duo/Group
321,ROLL WITH IT,Steve Winwood,1988,Rock,Male
322,STILL,Commodores,1979,R&B,Duo/Group
323,ODE TO BILLIE JOE,Bobbie Gentry,1967,Pop,Female
324,BABY COME BACK,Player,1978,Rock,Duo/Group
325,STRAIGHT UP,Paula Abdul,1989,Pop,Female
326,EMPIRE STATE OF MIND,Jay-Z + Alicia Keys,2009,Hip-Hop/Rap,Male/Female
327,GET BACK,The Beatles With Billy Preston,1969,Rock,Duo/Group
328,WAKE ME UP!,Avicii,2013,Dance/Electronic,Male
329,HALF-BREED,Cher,1973,Pop,Female
330,WINCHESTER CATHEDRAL,The New Vaudeville Band,1966,Pop,Duo/Group
331,MY SWEET LORD/ISN'T IT A PITY,George Harrison,1970,Rock,Male
332,CAN'T HELP FALLING IN LOVE,UB40,1993,Pop,Duo/Group
333,DON'T LET ME DOWN,The Chainsmokers Featuring Daya,2016,Dance/Electronic,Duo/Group
334,HAVANA,Camila Cabello Featuring Young Thug,2018,Pop,Female
335,EMOTIONS,Mariah Carey,1991,R&B,Female
336,OMG,Usher Featuring will.i.am,2010,R&B,Male
337,LEAN BACK,Terror Squad,2004,Hip-Hop/Rap,Duo/Group
338,Y.M.C.A.,Village People,1979,Dance/Electronic,Duo/Group
339,WITH ARMS WIDE OPEN,Creed,2000,Rock,Duo/Group
340,RING MY BELL,Anita Ward,1979,Dance/Electronic,Female
341,LOVE HANGOVER,Diana Ross,1976,R&B,Female
342,SINCE U BEEN GONE,Kelly Clarkson,2005,Pop,Female
343,QUIT PLAYING GAMES (WITH MY HEART),Backstreet Boys,1997,Pop,Duo/Group
344,NO SCRUBS,TLC,1999,R&B,Duo/Group
345,EVERYBODY WANTS TO RULE THE WORLD,Tears For Fears,1985,Rock,Duo/Group
346,(I CAN'T GET NO) SATISFACTION,The Rolling Stones,1965,Rock,Duo/Group
347,LIMBO ROCK,Chubby Checker,1962,R&B,Male
348,DREAMLOVER,Mariah Carey,1993,R&B,Female
349,BROTHER LOUIE,Stories,1973,Rock,Duo/Group
350,DROP IT LIKE IT'S HOT,Snoop Dogg Featuring Pharrell,2004,Hip-Hop/Rap,Male
351,OPPOSITES ATTRACT,Paula Abdul (Duet With The Wild Pair),1990,Pop,Female
352,VIVA LA VIDA,Coldplay,2008,Rock,Duo/Group
353,FANCY,Iggy Azalea Featuring Charli XCX,2014,Hip-Hop/Rap,Female
354,WE DIDN'T START THE FIRE,Billy Joel,1989,Rock,Male
355,CAN'T FEEL MY FACE,The Weeknd,2015,R&B,Male
356,NOTHING'S GONNA STOP US NOW,Starship,1987,Pop,Duo/Group
357,ESCAPE (THE PINA COLADA SONG),Rupert Holmes,1979,Pop,Male
358,WILL IT GO ROUND IN CIRCLES,Billy Preston,1973,R&B,Male
359,GET BUSY,Sean Paul,2003,Hip-Hop/Rap,Male
360,STRANGER ON THE SHORE,Mr. Acker Bilk,1962,Jazz,Male
361,THE FIRST NIGHT,Monica,1998,R&B,Female
362,YOU BELONG WITH ME,Taylor Swift,2009,Country,Female
363,IF I AIN'T GOT YOU,Alicia Keys,2004,R&B,Female
364,RUNAWAY,Del Shannon,1961,Rock,Male
365,WITH OR WITHOUT YOU,U2,1987,Rock,Duo/Group
366,THE POWER OF LOVE,Huey Lewis & The News,1985,Pop,Duo/Group
367,GREATEST LOVE OF ALL,Whitney Houston,1986,R&B,Female
368,NOBODY'S SUPPOSED TO BE HERE,Deborah Cox,1998,R&B,Female
369,THE BALLAD OF THE GREEN BERETS,SSgt Barry Sadler,1966,Country,Male
370,I JUST CALLED TO SAY I LOVE YOU,Stevie Wonder,1984,R&B,Male
371,TOP OF THE WORLD,Carpenters,1973,Pop,Duo/Group
372,LA BAMBA,Los Lobos,1987,Latin,Duo/Group
373,TWISTED,Keith Sweat,1996,R&B,Male
374,DANCING MACHINE,Jackson 5,1974,R&B,Duo/Group
375,FUNKYTOWN,"Lipps, Inc.",1980,Dance/Electronic,Duo/Group
